State,Year,Fuel_Consumption (Million Liters),Income (Crore INR),Fuel_Price (INR per Liter),Population,Vehicle_Type
Andhra Pradesh,1950,75.24,45409.98,1.5,33743451,Two-Wheeler
Andhra Pradesh,1950,19.78,5682.31,1.5,37521553,Four-Wheeler
Andhra Pradesh,1950,84.22,197230.17,1.5,35043845,Heavy Vehicle
Andhra Pradesh,1951,20.62,102199.73,1.55,25269473,Two-Wheeler
Andhra Pradesh,1951,65.35,35480.15,1.55,5953900,Four-Wheeler
Andhra Pradesh,1951,80.85,65849.39,1.55,28279333,Heavy Vehicle
Andhra Pradesh,1952,75.73,198518.16,1.6,22685884,Two-Wheeler
Andhra Pradesh,1952,13.83,160555.81,1.6,47510729,Four-Wheeler
Andhra Pradesh,1952,38.0,184354.38,1.6,82856619,Heavy Vehicle
Andhra Pradesh,1953,52.79,5965.94,1.65,35321989,Two-Wheeler
Andhra Pradesh,1953,68.24,100604.17,1.65,44136170,Four-Wheeler
Andhra Pradesh,1953,17.51,35606.79,1.65,20326859,Heavy Vehicle
Andhra Pradesh,1954,24.11,98676.16,1.7,65744279,Two-Wheeler
Andhra Pradesh,1954,21.66,103016.58,1.7,16569109,Four-Wheeler
Andhra Pradesh,1954,6.34,165421.15,1.7,22788518,Heavy Vehicle
Andhra Pradesh,1955,47.4,145015.07,1.75,12497002,Two-Wheeler
Andhra Pradesh,1955,10.13,145075.91,1.75,26251463,Four-Wheeler
Andhra Pradesh,1955,86.16,80209.24,1.75,911413,Heavy Vehicle
Andhra Pradesh,1956,68.85,101234.68,1.8,13885941,Two-Wheeler
Andhra Pradesh,1956,81.4,117281.26,1.8,64056586,Four-Wheeler
Andhra Pradesh,1956,15.57,142851.19,1.8,65121995,Heavy Vehicle
Andhra Pradesh,1957,23.93,167875.22,1.85,9680887,Two-Wheeler
Andhra Pradesh,1957,90.66,110101.23,1.85,17674649,Four-Wheeler
Andhra Pradesh,1957,96.04,150658.59,1.85,75795682,Heavy Vehicle
Andhra Pradesh,1958,44.26,116124.07,1.9,84615830,Two-Wheeler
Andhra Pradesh,1958,50.81,71079.46,1.9,57822140,Four-Wheeler
Andhra Pradesh,1958,77.93,176740.15,1.9,88640898,Heavy Vehicle
Andhra Pradesh,1959,83.15,30287.51,1.95,28141877,Two-Wheeler
Andhra Pradesh,1959,12.1,149201.35,1.95,45194374,Four-Wheeler
Andhra Pradesh,1959,37.91,146188.04,1.95,48892375,Heavy Vehicle
Andhra Pradesh,1960,16.66,2434.58,2.0,44792111,Two-Wheeler
Andhra Pradesh,1960,81.21,120633.37,2.0,93353815,Four-Wheeler
Andhra Pradesh,1960,52.7,114896.24,2.0,59579072,Heavy Vehicle
Andhra Pradesh,1961,87.93,106767.41,2.15,38862197,Two-Wheeler
Andhra Pradesh,1961,96.12,95855.4,2.15,69401996,Four-Wheeler
Andhra Pradesh,1961,56.96,113333.48,2.15,6741542,Heavy Vehicle
Andhra Pradesh,1962,12.16,173132.62,2.3,59273813,Two-Wheeler
Andhra Pradesh,1962,91.46,99125.16,2.3,86852403,Four-Wheeler
Andhra Pradesh,1962,87.55,193279.6,2.3,44792183,Heavy Vehicle
Andhra Pradesh,1963,21.81,88595.26,2.45,94916134,Two-Wheeler
Andhra Pradesh,1963,70.53,72765.56,2.45,14857267,Four-Wheeler
Andhra Pradesh,1963,24.37,124715.82,2.45,6229862,Heavy Vehicle
Andhra Pradesh,1964,11.28,150642.98,2.6,41214859,Two-Wheeler
Andhra Pradesh,1964,2.92,16863.7,2.6,19713894,Four-Wheeler
Andhra Pradesh,1964,46.42,99997.16,2.6,19979272,Heavy Vehicle
Andhra Pradesh,1965,7.04,33269.01,2.75,45056421,Two-Wheeler
Andhra Pradesh,1965,21.56,114930.85,2.75,26389356,Four-Wheeler
Andhra Pradesh,1965,97.6,111917.51,2.75,60555030,Heavy Vehicle
